,Doc Number,Type,Entity,Entity Name,Vendor,Amount,Begin Date,End Date,0,url
0,58-1-5062,CN,051,University of Nebraska Lincoln,DEFENSE POW-MIA ACCOUNTING AGENCY (DPAA),$0.00,11/01/2019,11/01/2023,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=s9Ksgsk3AMU5V7L742HGeQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=X%2FTqJV6kiYuAI1U3K7eHjlMP54qQ6Tol%2BbunL6%2BH7y0xCEPYDR1lg7HDxyM0pnT4
1,58-1-5071,CN,051,University of Nebraska Lincoln,DPAA,$0.00,11/01/2019,11/01/2023,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=qHvZMQxGSXo3vFzU7EkPOQ%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=vsHmOOqk%2BV3AVDcKBrDsHA%3D%3D
2,41530,CN,051,University of Nebraska Lincoln,"AA LEUPOLD & SONS, INC.","$4,867.50",07/14/2023,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=%2Fu6ZM22Y9lHC2WAMH5qUZw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=H3MDd0tzRfJ7XoxWRVGXdnOZLorL4oDzyJzZ5ixXYDo%3D
3,41421,CN,051,University of Nebraska Lincoln,"AA LEUPOLD & SONS, INC.","$22,410.00",06/06/2023,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=F8yYwC188mQQJus4L57HRA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=H3MDd0tzRfJ7XoxWRVGXdnOZLorL4oDzyJzZ5ixXYDo%3D
4,41242,CN,051,University of Nebraska Lincoln,PAUL HAAR,"$3,200.00",06/20/2023,04/19/2024,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=ewz%2FXPTRuYaKyPa4G8rV7A%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=brxBa2ScFLwpGEUboxwHkQ%3D%3D
5,40422,CN,051,University of Nebraska Lincoln,"AA LEUPOLD & SONS, INC.","$7,397.50",02/02/2023,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=NiHdVxe9fg8ya4UPHksgig%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=H3MDd0tzRfJ7XoxWRVGXdnOZLorL4oDzyJzZ5ixXYDo%3D
6,40429,CN,051,University of Nebraska Lincoln,"AA LEUPOLD & SONS, INC.","$3,272.50",02/17/2023,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=zKgi8n%2FrCsZQ4bvoljvftg%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=H3MDd0tzRfJ7XoxWRVGXdnOZLorL4oDzyJzZ5ixXYDo%3D
7,39786,CN,051,University of Nebraska Lincoln,"R LAWRENCE KIRKEGAARD & ASSOC., INC - 13059","$3,200.00",09/23/2022,11/11/2023,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=hqC4B%2BVyZ7W387b87OtD3g%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=Xl9l61nzPnkpKTk2eZjIoyPMAS%2B6XY4DKN018dT0rBO%2BwheFFApHIzs03czWfcaL
8,58-1-4678,CN,051,University of Nebraska Lincoln,BTAA,$0.00,06/14/2019,06/13/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=JCgfUo3ySM3a4UsAaHhD%2FA%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=rn3UtY1WQux0PIwiVzb8kQ%3D%3D
9,24376,CN,051,University of Nebraska Lincoln,AA LEUPOLD AGREEMENT NORTH STADIUM 3RD FLOOR PAINT,$640.00,07/17/2014,12/31/2099,,https://statecontracts.nebraska.gov/Search/SearchDocuments?A=Va79UbFZunQFtH3xQr2ovw%3D%3D&D=kNFXQk4IRsZIPZSuDU2jrQ%3D%3D&DN=ECc1%2F5UGSTAOnd7lyxwPhw%3D%3D&N=MtDhwHsABlrB5bkzi23S3MJH2nMFV2z9DlC5SwJqa0Q%3D&DT=alQT0%2B51hm2oW6NMeITLVg%3D%3D&V=mxccDIyEU1GelUiRJcWgg8KYLgGDFOIjOvX0yuHT0YunZQ5k5hrxFs19T1VghqRtWjEfxwjmy3qIAdjUvkBbMw%3D%3D
